nombre,precio_habitacion,precio_piso,lat,lon,tiempo_trayecto,renta_media_ine,tags
Detached house in Algar de Palancia,1.0,2.2,0.0,-0.3857,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in Calle 20, El Bosque, Chiva",1.0,2.2,0.0,-0.6231,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in Calle Doce Nn, Vilamarxant",1.0,2.2,0.0,-0.6331,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in Calle Rei Pere El Ceremonios, El Carme-Sant Agustí-Bonavista, L'Eliana",1.0,2.2,0.0,-0.5233,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in Calle la Marina Baixa, Los Monasterios-Alfinach, Puçol",1.0,2.2,0.0,-0.3447,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in La Presa - Collado - La Malla, Manises",1.0,2.2,0.0,-0.5194,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in Paseo Colom, Playa de Farnals",1.0,2.2,0.0,-0.2862,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Detached house in Sierra Calderon, Los Monasterios-Alfinach, Puçol",1.0,2.2,0.0,-0.3392,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Duplex in Avenida d'Amado Granell Mesado, Ciutat de les Arts i de les Ciencies, València",1.0,2.2,0.0,-0.3585,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Alboraya Viejo, Sant Llorenç, València",1.0,2.2,0.0,-0.3661,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Avenida Blasco Ibáñez, 18, Canet d'En Berenguer",1.0,2.2,0.0,-0.2083,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Avenida Luis Suñer, 19, Pere Morell-Alborxí, Alzira",0.0,0.0,0.0,-0.4416,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Avenida Neptuno, 53, Playa de Farnals",1.0,2.2,0.0,-0.2857,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Avenida de Blasco Ibáñez, Ciutat Jardí, València",1.0,2.2,0.0,-0.3442,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Avenida de les Corts Valencianes, Benicalap, València",1.0,2.2,0.0,-0.4005,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle América, Avda de Abril - 9 de Octubre, Puerto de Sagunto",1.0,2.2,0.0,-0.2336,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Arbocer, 16, Playa de Puçol, Puçol",1.0,2.2,0.0,-0.2695,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Arnau de Vilanova, Canet d'En Berenguer",1.0,2.2,0.0,-0.2078,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Braç del Moli, 3, Quart de Poblet",1.0,2.2,0.0,-0.4397,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Braç del Moli, Quart de Poblet",1.0,2.2,0.0,-0.4394,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Guillem de Castro, 1, Canet d'En Berenguer",1.0,2.2,0.0,-0.2097,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Josep Ribera, Canet d'En Berenguer",1.0,2.2,0.0,-0.2074,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Nevers, 16 b, El Faro, Cullera",1.0,2.2,0.0,-0.2242,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle Tórtora, Torre en Conill-Cumbres de San Antonio, Bétera",1.0,2.2,0.0,-0.4639,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle d'Armando Palacio Valdés, Exposició, València",1.0,2.2,0.0,-0.3627,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de Martínez Aloy, Arrancapins, València",0.0,0.0,0.0,-0.387,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de Santa Rosa, Mestalla, València",1.0,2.2,0.0,-0.3589,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de Trafalgar, Penya-Roja, València",1.0,2.2,0.0,-0.3452,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de Vicente Beltrán Grimal, La Creu del Grau, València",1.0,2.2,0.0,-0.3492,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de l'Hedra, El Mercat, València",1.0,2.2,0.0,-0.3799,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de l'Illa Cabrera, Malilla, València",1.0,2.2,0.0,-0.3795,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de la Font de la Cabilda, Massanassa",1.0,2.2,0.0,-0.3946,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de la Safor, Sant Pau, València",1.0,2.2,0.0,-0.4014,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle de la Sirena, El Perellonet",1.0,2.2,0.0,-0.2838,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Calle del Cercle de Bellas Arts, Sant Llorenç, València",1.0,2.2,0.0,-0.363,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in El Mercat, València",1.0,2.2,0.0,-0.3796,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in El Pilar, València",1.0,2.2,0.0,-0.38,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Gran Vía, València",1.0,2.2,0.0,-0.3704,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in La Petxina, València",1.0,2.2,0.0,-0.3883,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Playa de Gandia, Gandia",1.0,2.2,0.0,-0.1686,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Plaza José saramago, Padre Jaime - Los Cabos, Puerto de Sagunto",1.0,2.2,0.0,-0.2099,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Plaza d'Hondures, Ciutat Jardí, València",1.0,2.2,0.0,-0.3436,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Plaza de la Legió Espanyola, Exposició, València",1.0,2.2,0.0,-0.3645,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Reina Doña Maria, Russafa, València",1.0,2.2,0.0,-0.3725,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Rioja, 131, Playa de Gandia, Gandia",1.0,2.2,0.0,-0.1762,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Flat / apartment in Vicente Raga, Penya-Roja, València",1.0,2.2,0.0,-0.3454,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"House in Calle Gregal, Los Pinares-La Masía, Bétera",1.0,2.2,0.0,-0.4622,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Avenida de les Gavines, El Perellonet",1.0,2.2,0.0,-0.28,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Calle Andarella, Vara de Quart, València",1.0,2.2,0.0,-0.4161,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Calle Lepant, Playa de Farnals",1.0,2.2,0.0,-0.2927,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Calle d'Antonio Ferrandis, Ciutat de les Arts i de les Ciencies, València",1.0,2.2,0.0,-0.361,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Calle de Benimodo, Benimàmet, València",1.0,2.2,0.0,-0.4188,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Ciutat de les Arts i de les Ciencies, València",1.0,2.2,0.0,-0.3653,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Penthouse in Paseo Serra d 'Espadá, La Patacona, Alboraya",1.0,2.2,0.0,-0.3277,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Terraced house in Avenida del Grau Vell, Playa de Puçol, Puçol",1.0,2.2,0.0,-0.2635,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Terraced house in Calle Jorge Sepulveda, Malilla, València",1.0,2.2,0.0,-0.3807,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Terraced house in Calle Luis Cendoya, Mare Nostrum - Mercado, Puerto de Sagunto",1.0,2.2,0.0,-0.2169,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Terraced house in Calle de Vicente Lleó, En Corts, València",1.0,2.2,0.0,-0.3693,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Terraced house in Caracter Urbanizacion Santa Barbara, Rocafort",1.0,2.2,0.0,-0.4213,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
"Terraced house in La Arboleda, Mas Camarena, Bétera",1.0,2.2,0.0,-0.4648,15,14.800 €/año,"metro_directo,ambiente_joven,comercio_local"
